degC,MPa,vf,vg,uf,ug,hf,hfg,hg,sf,sfg,sg, 
0.01,0.0006117,0.001000,205.99,0.0,2374.9,0.00,2500.9,2500.9,0.0000,9.1555,9.1555,
5,0.0008726,0.001000,147.01,21.0,2381.8,21.02,2489.1,2510.1,0.0763,8.9485,9.0248,
10,0.001228,0.001000,106.30,42.0,2388.6,42.02,2477.2,2519.2,0.1511,8.7487,8.8998,
15,0.001706,0.001001,77.88,63.0,2395.5,62.98,2465.3,2528.3,0.2245,8.5558,8.7803,
20,0.002339,0.001002,57.76,83.9,2402.3,83.91,2453.5,2537.4,0.2965,8.3695,8.6660,
25,0.003170,0.001003,43.34,104.8,2409.1,104.83,2441.7,2546.5,0.3672,8.1894,8.5566,
30,0.004247,0.001004,32.88,125.7,2415.9,125.73,2429.8,2555.5,0.4368,8.0153,8.4520,
35,0.005629,0.001006,25.21,146.6,2422.7,146.63,2417.9,2564.5,0.5051,7.8466,8.3517,
40,0.007385,0.001008,19.52,167.5,2429.4,167.53,2406.0,2573.5,0.5724,7.6831,8.2555,
45,0.009595,0.001010,15.25,188.4,2436.1,188.43,2394.0,2582.4,0.6386,7.5247,8.1633,
50,0.01235,0.001012,12.03,209.3,2442.7,209.34,2382.0,2591.3,0.7038,7.3710,8.0748,
55,0.01576,0.001015,9.564,230.2,2449.3,230.26,2369.8,2600.1,0.7680,7.2218,7.9898,
60,0.01995,0.001017,7.667,251.2,2455.9,251.18,2357.6,2608.8,0.8313,7.0768,7.9081,
65,0.02504,0.001020,6.194,272.1,2462.4,272.12,2345.4,2617.5,0.8937,6.9360,7.8296,
70,0.03120,0.001023,5.040,293.0,2468.9,293.07,2333.0,2626.1,0.9551,6.7989,7.7540,
75,0.03860,0.001026,4.129,314.0,2475.2,314.03,2320.6,2634.6,1.0158,6.6654,7.6812,
80,0.04741,0.001029,3.405,335.0,2481.6,335.01,2308.0,2643.0,1.0756,6.5355,7.6111,
85,0.05787,0.001032,2.826,356.0,2487.8,356.01,2295.3,2651.3,1.1346,6.4088,7.5434,
90,0.07018,0.001036,2.359,377.0,2494.0,377.04,2282.5,2659.5,1.1929,6.2852,7.4781,
95,0.08461,0.001040,1.981,398.0,2500.0,398.09,2269.5,2667.6,1.2504,6.1647,7.4151,
100,0.1014,0.001044,1.672,419.1,2506.0,419.17,2256.4,2675.6,1.3072,6.0469,7.3541,
110,0.1434,0.001052,1.209,461.3,2517.7,461.42,2229.7,2691.1,1.4188,5.8193,7.2381,
120,0.1987,0.001060,0.8912,503.6,2528.9,503.81,2202.1,2705.9,1.5279,5.6012,7.1291,
130,0.2703,0.001070,0.6680,546.1,2539.5,546.38,2173.7,2720.1,1.6346,5.3918,7.0264,
140,0.3615,0.001080,0.5085,588.8,2549.6,589.16,2144.2,2733.4,1.7392,5.1901,6.9293,
150,0.4762,0.001091,0.3925,631.7,2559.1,632.18,2113.7,2745.9,1.8418,4.9953,6.8371,
160,0.6182,0.001102,0.3068,674.8,2567.8,675.47,2081.9,2757.4,1.9426,4.8065,6.7491,
170,0.7922,0.001114,0.2426,718.2,2575.7,719.08,2048.8,2767.9,2.0417,4.6233,6.6650,
180,1.0028,0.001127,0.1938,761.9,2582.8,763.05,2014.1,2777.2,2.1392,4.4448,6.5840,
190,1.2552,0.001142,0.1564,806.0,2589.0,807.43,1977.9,2785.3,2.2355,4.2704,6.5059,
200,1.5549,0.001157,0.1272,850.5,2594.2,852.27,1939.7,2792.0,2.3305,4.0997,6.4302,
210,1.9077,0.001173,0.1043,895.4,2598.3,897.63,1899.7,2797.3,2.4245,3.9318,6.3563,
220,2.3196,0.001190,0.08609,940.8,2601.2,943.58,1857.3,2800.9,2.5177,3.7663,6.2840,
230,2.7971,0.001209,0.07150,986.8,2602.9,990.19,1812.7,2802.9,2.6101,3.6027,6.2128,
240,3.3469,0.001230,0.05971,1033.4,2603.1,1037.60,1765.4,2803.0,2.7020,3.4403,6.1423,
250,3.9762,0.001252,0.05008,1080.8,2601.8,1085.80,1715.1,2800.9,2.7935,3.2786,6.0721,
260,4.6923,0.001276,0.04217,1129.0,2598.7,1135.00,1661.6,2796.6,2.8849,3.1167,6.0016,
270,5.5030,0.001303,0.03562,1178.1,2593.7,1185.30,1604.4,2789.7,2.9765,2.9539,5.9304,
280,6.4166,0.001333,0.03015,1228.3,2586.4,1236.90,1543.0,2779.9,3.0685,2.7894,5.8579,
290,7.4418,0.001366,0.02556,1279.9,2576.5,1290.00,1476.7,2766.7,3.1612,2.6222,5.7834,
300,8.5879,0.001404,0.02166,1332.9,2563.6,1345.00,1404.6,2749.6,3.2552,2.4507,5.7059,
310,9.8651,0.001448,0.01834,1387.9,2547.1,1402.20,1325.7,2727.9,3.3510,2.2734,5.6244,
320,11.284,0.001499,0.01547,1445.3,2526.0,1462.20,1238.4,2700.6,3.4494,2.0878,5.5372,
330,12.858,0.001561,0.01298,1505.8,2499.2,1525.90,1140.1,2666.0,3.5518,1.8904,5.4422,
340,14.601,0.001638,0.01078,1570.6,2464.4,1594.50,1027.3,2621.8,3.6601,1.6755,5.3356,
350,16.529,0.001740,0.008802,1642.1,2418.1,1670.90,892.7,2563.6,3.7784,1.4326,5.2110,
360,18.666,0.001895,0.006949,1726.3,2351.8,1761.70,719.8,2481.5,3.9167,1.1369,5.0536,
370,21.044,0.002215,0.004954,1844.1,2230.3,1890.70,443.8,2334.5,4.1112,0.6900,4.8012,
373.95,22.064,0.003106,0.003106,2015.7,2015.7,2084.30,0.0,2084.3,4.4070,0.0,4.4070,